classification_id,user_id,subject_id,subject_data,annotations
26,113,86,"{""86"": {""num_classifications"": 1, ""sdss_specobjid"": 1580935040416638976}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
27,172,92,"{""92"": {""num_classifications"": 1, ""sdss_specobjid"": 1190160631362250752}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
28,115,129,"{""129"": {""num_classifications"": 1, ""sdss_specobjid"": 1089972855115900928}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
29,132,16,"{""16"": {""num_classifications"": 1, ""sdss_specobjid"": 1859034251903657984}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
30,185,44,"{""44"": {""num_classifications"": 1, ""sdss_specobjid"": 395220307675211776}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
31,101,179,"{""179"": {""num_classifications"": 1, ""sdss_specobjid"": 1912915814290319360}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
32,97,6,"{""6"": {""num_classifications"": 1, ""sdss_specobjid"": 1321933530900490240}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
33,197,144,"{""144"": {""num_classifications"": 1, ""sdss_specobjid"": 1971587407857870848}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
34,132,45,"{""45"": {""num_classifications"": 1, ""sdss_specobjid"": 957093025366960128}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
35,47,2,"{""2"": {""num_classifications"": 1, ""sdss_specobjid"": 2406155648749299712}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
36,36,32,"{""32"": {""num_classifications"": 1, ""sdss_specobjid"": 2792366523753195520}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
37,79,59,"{""59"": {""num_classifications"": 1, ""sdss_specobjid"": 694824313307555840}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
38,135,93,"{""93"": {""num_classifications"": 1, ""sdss_specobjid"": 1388254971971004416}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
39,39,110,"{""110"": {""num_classifications"": 1, ""sdss_specobjid"": 1320702902645319680}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
40,156,99,"{""99"": {""num_classifications"": 1, ""sdss_specobjid"": 2401694375470983168}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
41,115,113,"{""113"": {""num_classifications"": 1, ""sdss_specobjid"": 2083067998171588608}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
42,11,9,"{""9"": {""num_classifications"": 1, ""sdss_specobjid"": 2671916123049453568}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
43,2,76,"{""76"": {""num_classifications"": 1, ""sdss_specobjid"": 851185870366074880}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
44,189,17,"{""17"": {""num_classifications"": 1, ""sdss_specobjid"": 445890478437591040}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
45,102,169,"{""169"": {""num_classifications"": 1, ""sdss_specobjid"": 1557259811173722112}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
46,138,37,"{""37"": {""num_classifications"": 1, ""sdss_specobjid"": 2980368179500443648}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
47,34,103,"{""103"": {""num_classifications"": 1, ""sdss_specobjid"": 1781253691404216320}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
48,168,106,"{""106"": {""num_classifications"": 1, ""sdss_specobjid"": 1535775902800046080}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
49,2,137,"{""137"": {""num_classifications"": 1, ""sdss_specobjid"": 1997446828240431104}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
50,69,95,"{""95"": {""num_classifications"": 1, ""sdss_specobjid"": 2382463366288402432}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
51,115,165,"{""165"": {""num_classifications"": 1, ""sdss_specobjid"": 1983875825325336576}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
52,184,178,"{""178"": {""num_classifications"": 1, ""sdss_specobjid"": 957092200733239296}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
53,13,152,"{""152"": {""num_classifications"": 1, ""sdss_specobjid"": 3107625930361694208}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
54,102,64,"{""64"": {""num_classifications"": 1, ""sdss_specobjid"": 1906262124674443264}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
55,173,136,"{""136"": {""num_classifications"": 1, ""sdss_specobjid"": 950337901474899968}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
56,99,79,"{""79"": {""num_classifications"": 1, ""sdss_specobjid"": 1319600916596287488}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
57,129,91,"{""91"": {""num_classifications"": 1, ""sdss_specobjid"": 1603376898832885760}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
58,130,186,"{""186"": {""num_classifications"": 1, ""sdss_specobjid"": 374938451679668224}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
59,130,174,"{""174"": {""num_classifications"": 1, ""sdss_specobjid"": 2489471135297595392}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
60,36,36,"{""36"": {""num_classifications"": 1, ""sdss_specobjid"": 3248345551502075904}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
61,153,187,"{""187"": {""num_classifications"": 1, ""sdss_specobjid"": 958141410341578752}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
62,171,88,"{""88"": {""num_classifications"": 1, ""sdss_specobjid"": 2393697075582756864}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
63,126,33,"{""33"": {""num_classifications"": 1, ""sdss_specobjid"": 1613442105215051776}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
64,55,147,"{""147"": {""num_classifications"": 1, ""sdss_specobjid"": 3090637921343006720}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
65,134,63,"{""63"": {""num_classifications"": 1, ""sdss_specobjid"": 2837422873289713664}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
66,164,68,"{""68"": {""num_classifications"": 1, ""sdss_specobjid"": 572017115754686464}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
67,44,27,"{""27"": {""num_classifications"": 1, ""sdss_specobjid"": 421107211050182656}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
68,128,12,"{""12"": {""num_classifications"": 1, ""sdss_specobjid"": 2168562990821959680}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
69,98,190,"{""190"": {""num_classifications"": 1, ""sdss_specobjid"": 711578396596922368}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
70,185,53,"{""53"": {""num_classifications"": 1, ""sdss_specobjid"": 961587554610604032}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
71,199,18,"{""18"": {""num_classifications"": 1, ""sdss_specobjid"": 1923087127436879872}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
72,115,154,"{""154"": {""num_classifications"": 1, ""sdss_specobjid"": 2271021809124009984}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
73,180,159,"{""159"": {""num_classifications"": 1, ""sdss_specobjid"": 1496355657232705536}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
74,138,162,"{""162"": {""num_classifications"": 1, ""sdss_specobjid"": 3341678971891771392}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
75,3,82,"{""82"": {""num_classifications"": 1, ""sdss_specobjid"": 914298108903450624}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
76,98,69,"{""69"": {""num_classifications"": 1, ""sdss_specobjid"": 1894961069118482432}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
77,159,108,"{""108"": {""num_classifications"": 1, ""sdss_specobjid"": 2394954093341730816}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
78,192,164,"{""164"": {""num_classifications"": 1, ""sdss_specobjid"": 3142501615399888896}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
79,31,139,"{""139"": {""num_classifications"": 1, ""sdss_specobjid"": 1382751366417508352}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
80,112,153,"{""153"": {""num_classifications"": 1, ""sdss_specobjid"": 1446867737639938048}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
81,82,119,"{""119"": {""num_classifications"": 1, ""sdss_specobjid"": 683488353391241216}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
82,83,70,"{""70"": {""num_classifications"": 1, ""sdss_specobjid"": 2558137834250725376}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
83,98,183,"{""183"": {""num_classifications"": 1, ""sdss_specobjid"": 665489617117538304}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
84,164,26,"{""26"": {""num_classifications"": 1, ""sdss_specobjid"": 2028965430676187136}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
85,5,48,"{""48"": {""num_classifications"": 1, ""sdss_specobjid"": 300637017459419136}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
86,72,21,"{""21"": {""num_classifications"": 1, ""sdss_specobjid"": 493295923410003968}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
87,16,52,"{""52"": {""num_classifications"": 1, ""sdss_specobjid"": 2106621179761551360}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
88,31,60,"{""60"": {""num_classifications"": 1, ""sdss_specobjid"": 1933171029828462592}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
89,58,109,"{""109"": {""num_classifications"": 1, ""sdss_specobjid"": 1018957052220827648}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
90,79,182,"{""182"": {""num_classifications"": 1, ""sdss_specobjid"": 1360126714713237504}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
91,71,56,"{""56"": {""num_classifications"": 1, ""sdss_specobjid"": 1020227258415081472}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
92,166,13,"{""13"": {""num_classifications"": 1, ""sdss_specobjid"": 1912947150371710976}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
93,99,81,"{""81"": {""num_classifications"": 1, ""sdss_specobjid"": 1173226506432833536}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
94,35,177,"{""177"": {""num_classifications"": 1, ""sdss_specobjid"": 1378167777939974144}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
95,52,35,"{""35"": {""num_classifications"": 1, ""sdss_specobjid"": 1048284325465843712}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
96,180,112,"{""112"": {""num_classifications"": 1, ""sdss_specobjid"": 1954577957523580928}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
97,197,143,"{""143"": {""num_classifications"": 1, ""sdss_specobjid"": 2039066638094985216}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
98,47,77,"{""77"": {""num_classifications"": 1, ""sdss_specobjid"": 1974868625567279104}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
99,41,30,"{""30"": {""num_classifications"": 1, ""sdss_specobjid"": 1486193146000861184}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
100,117,7,"{""7"": {""num_classifications"": 1, ""sdss_specobjid"": 1024603039966717952}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
101,112,72,"{""72"": {""num_classifications"": 1, ""sdss_specobjid"": 3127903948988508160}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
102,45,135,"{""135"": {""num_classifications"": 1, ""sdss_specobjid"": 1789071494509258752}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
103,173,161,"{""161"": {""num_classifications"": 1, ""sdss_specobjid"": 602448018041497600}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
104,160,130,"{""130"": {""num_classifications"": 1, ""sdss_specobjid"": 2098837186001528832}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
105,182,46,"{""46"": {""num_classifications"": 1, ""sdss_specobjid"": 2030141087963703296}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
106,169,104,"{""104"": {""num_classifications"": 1, ""sdss_specobjid"": 1038226264734853120}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
107,179,43,"{""43"": {""num_classifications"": 1, ""sdss_specobjid"": 689156056105904128}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
108,55,111,"{""111"": {""num_classifications"": 1, ""sdss_specobjid"": 3114243886420092928}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
109,4,142,"{""142"": {""num_classifications"": 1, ""sdss_specobjid"": 407642870024005632}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
110,97,71,"{""71"": {""num_classifications"": 1, ""sdss_specobjid"": 957152948750673920}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
111,24,157,"{""157"": {""num_classifications"": 1, ""sdss_specobjid"": 2723686359389726720}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
112,45,175,"{""175"": {""num_classifications"": 1, ""sdss_specobjid"": 2389223993845508096}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
113,45,171,"{""171"": {""num_classifications"": 1, ""sdss_specobjid"": 2015519227951212544}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
114,11,8,"{""8"": {""num_classifications"": 1, ""sdss_specobjid"": 1578682691635668992}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
115,10,41,"{""41"": {""num_classifications"": 1, ""sdss_specobjid"": 2169722425900558336}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
116,83,134,"{""134"": {""num_classifications"": 1, ""sdss_specobjid"": 1968202007109986304}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
117,192,100,"{""100"": {""num_classifications"": 1, ""sdss_specobjid"": 2410607563914635264}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
118,41,49,"{""49"": {""num_classifications"": 1, ""sdss_specobjid"": 1516602065286096896}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
119,19,22,"{""22"": {""num_classifications"": 1, ""sdss_specobjid"": 2043538632651859968}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Features or disk""}]"
120,156,141,"{""141"": {""num_classifications"": 1, ""sdss_specobjid"": 424608886645876736}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
121,20,38,"{""38"": {""num_classifications"": 1, ""sdss_specobjid"": 2186536434167474176}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
122,110,114,"{""114"": {""num_classifications"": 1, ""sdss_specobjid"": 587828362102204416}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
123,44,138,"{""138"": {""num_classifications"": 1, ""sdss_specobjid"": 2393696525826942976}}","[{""task"": ""T0"", ""task_label"": ""Is the galaxy simply smooth and rounded, with no sign of a disk?"", ""value"": ""Smooth""}]"
